	0	0	0
0	2607 reviews	$$	146 BroadwayBrooklyn, NY 11211
1	1534 reviews	$$	200 W 44th StNew York, NY 10036
2	258 reviews	$	147 W 43rd StNew York, NY 10036
3	616 reviews	$$	229 W 43rd StNew York, NY 10036
4	104 reviews	$$	141 W 41st StNew York, NY 10036
5	3087 reviews	$$	132 W 43rd StNew York, NY 10036
6	1600 reviews	$$	1515 BroadwayNew York, NY 10036
7	1513 reviews	$$	254 W 47th StNew York, NY 10036
8	8 reviews	$	403 W 43rd StNew York, NY 10036
9	840 reviews	$$	316 W 36th StNew York, NY 10018
10	748 reviews	$$	204 W 55th StNew York, NY 10019
11	9 reviews	$	146 BroadwayBrooklyn, NY 11211
12	1196 reviews	$	1501 BroadwayNew York, NY 10036
13	1234 reviews	$$	24 W 45th StNew York, NY 10036
14	13 reviews	$	273 W 38th StNew York, NY 10018
15	8578 reviews	$$	145 West 44th StNew York, NY 10036
16	195 reviews	$$	W 53rd St 6th AveNew York, NY 10019
17	10 reviews	$$	136 W 42nd StNew York, NY 10036
18	883 reviews	$$	19 W 52nd StNew York, NY 10103
19	623 reviews	$$	64 W 39th StNew York, NY 10018
20	1526 reviews	$$	1501 BroadwayNew York, NY 10036
21	681 reviews	$$	146 BroadwayBrooklyn, NY 11211
22	293 reviews	$	53 W 35th StNew York, NY 10001
23	1412 reviews	$	34 W 35th StNew York, NY 10001
24	599 reviews	$$	252 W 37th StNew York, NY 10018
25	1246 reviews	$	647 9th AveNew York, NY 10036
26	10 reviews	$$	136 W 46th StNew York, NY 10036
27	2843 reviews	$$	231 W 46th StNew York, NY 10036
28	122 reviews	$$	811 8th AveNew York, NY 10019
29	1046 reviews	$	321 W 51st StNew York, NY 10019
30	661 reviews	$$	606 8th AveNew York, NY 10018
31	156 reviews	$$	249 W 49th StNew York, NY 10019
32	1214 reviews	$$	146 BroadwayBrooklyn, NY 11211
33	2017 reviews	$	7 Times SquareNew York, NY 10036
34	504 reviews	$	356 W 44th StNew York, NY 10036
35	854 reviews	$	49 W 39th StNew York, NY 10018
36	1788 reviews	$$	766 9th AveNew York, NY 10019
37	69 reviews	$$	334 W 46th StNew York, NY 10036
38	130 reviews	$$	43 W 46th StNew York, NY 10036
39	603 reviews	$$	225 W 35th StNew York, NY 10001
40	2 reviews	$$	1435 BroadwayNew York, NY 10018
41	337 reviews	$$	302 W 37th StNew York, NY 10018
42	16 reviews	$	246 W 38th StNew York, NY 10018
43	1469 reviews	$	4408 3rd AveBrooklyn, NY 11220
44	1578 reviews	$$	110 W 40th StNew York, NY 10018
45	12 reviews	$$	1 Rockefeller PlzNew York, NY 10020
46	15 reviews	$$	132 W 31st StNew York, NY 10001
47	123 reviews	$	152 W 49th StNew York, NY 10019
48	944 reviews	$$	485 7th AvenueNew York, NY 10016
49	1902 reviews	$$	5 Times SqNew York, NY 10036
50	495 reviews	$$	38 W 39th StNew York, NY 10018
51	399 reviews	$$	604 10th AveNew York, NY 10036
52	1246 reviews	$$	127 W 43rd StNew York, NY 10036
53	276 reviews	$$	146 BroadwayBrooklyn, NY 11211
54	385 reviews	$	255 W 43rd StNew York, NY 10036
55	284 reviews	$$	152 W 44th StNew York, NY 10036
56	408 reviews	$$	145 W 45th StNew York, NY 10036
57	1530 reviews	$$	700 8th Ave at 44th StNew York, NY 10036
58	2271 reviews	$$	38 W 36th StNew York, NY 10018
59	54 reviews	$$	211 W 43rd StNew York, NY 10036
60	11 reviews	$$	63 W 37th StNew York, NY 10018
61	299 reviews	$$	12 W 32nd StNew York, NY 10001
62	13 reviews	$$	206 W 41st StNew York, NY 10036
63	1459 reviews	$$	11 W 32nd StNew York, NY 10001
64	794 reviews	$$	146 BroadwayBrooklyn, NY 11211
65	120 reviews	$$	600 9th AveNew York, NY 10036
66	428 reviews	$$	151 W 46th StNew York, NY 10036
67	2719 reviews	$$	9 W 32nd StNew York, NY 10001
68	932 reviews	$$	700 8th AveNew York, NY 10036
69	563 reviews	$$$$	155 W 43rd StNew York, NY 10036
70	842 reviews	$$	691 8th AveNew York, NY 10036
